YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,OH,Ohio,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,6.3,6.3,,,3.5,11.1,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(40.060210141, -82.404260056)",,39,DIA,DIA2_1,CRDPREV,RACE,MRC,,,,
2015,2015,TX,Texas,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(31.827240407, -99.426770206)",,48,DIA,DIA11_3,CRDPREV,RACE,OTH,,,,
2015,2015,MO,Missouri,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,-,No data available,,,Gender,Female,,,,,"(38.635790776, -92.566300053)",,29,DIA,DIA7_0,AGEADJPREV,GENDER,GENF,,,,
2015,2015,WI,Wisconsin,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,24.8,24.8,,,16.8,35,Gender,Female,,,,,"(44.393191174, -89.816370742)",,55,DIA,DIA12_1,CRDPREV,GENDER,GENF,,,,
2015,2015,TX,Texas,BRFSS,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,62.5,62.5,,,49.6,73.9,Race/Ethnicity,"Black, non-Hispanic",,,,,"(31.827240407, -99.426770206)",,48,DIA,DIA11_1,CRDPREV,RACE,BLK,,,,
2015,2015,FL,Florida,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,68.3,68.3,,,60.3,75.4,Gender,Female,,,,,"(28.932040377, -81.928960539)",,12,DIA,DIA7_0,CRDPREV,GENDER,GENF,,,,
2015,2015,CO,Colorado,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Age-adjusted Prevalence,86,86,,,79.1,90.8,Gender,Male,,,,,"(38.843840757, -106.133610921)",,8,DIA,DIA13_2,AGEADJPREV,GENDER,GENM,,,,
2015,2015,MA,Massachusetts,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(42.27687047, -72.082690675)",,25,DIA,DIA11_2,AGEADJPREV,RACE,OTH,,,,
2015,2015,AK,Alaska,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(64.845079957001, -147.722059036)",,2,DIA,DIA5_0,CRDPREV,RACE,BLK,,,,
2015,2015,FL,Florida,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,10.9,10.9,,,9.8,12,Gender,Female,,,,,"(28.932040377, -81.928960539)",,12,DIA,DIA2_1,CRDPREV,GENDER,GENF,,,,
2015,2015,NY,New York,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(42.827001032, -75.543970427)",,36,DIA,DIA13_1,AGEADJPREV,RACE,MRC,,,,
2015,2015,GA,Georgia,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Crude Prevalence,53.2,53.2,,,47.3,59,Race/Ethnicity,"White, non-Hispanic",,,,,"(32.839681093, -83.627580346)",,13,DIA,DIA10_0,CRDPREV,RACE,WHT,,,,
2015,2015,UT,Utah,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Age-adjusted Prevalence,78.2,78.2,,,70,84.6,Gender,Male,,,,,"(39.360700171, -111.587130635)",,49,DIA,DIA13_2,AGEADJPREV,GENDER,GENM,,,,
2015,2015,SC,South Carolina,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,5.5,5.5,,,3.7,8.3,Race/Ethnicity,"Black, non-Hispanic",,,,,"(33.998821303, -81.045371207)",,45,DIA,DIA2_2,CRDPREV,RACE,BLK,,,,
2015,2015,MA,Massachusetts,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.8,8.8,,,5.6,13.5,Race/Ethnicity,"Other, non-Hispanic",,,,,"(42.27687047, -72.082690675)",,25,DIA,DIA2_1,AGEADJPREV,RACE,OTH,,,,
2015,2015,DC,District of Columbia,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(38.907192, -77.036871)",,11,DIA,DIA6_0,AGEADJPREV,RACE,OTH,,,,
2015,2015,TX,Texas,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,50.7,50.7,,,43.6,57.6,Gender,Female,,,,,"(31.827240407, -99.426770206)",,48,DIA,DIA11_2,AGEADJPREV,GENDER,GENF,,,,
2015,2015,WY,Wyoming,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,8.4,8.4,,,7.5,9.4,Overall,Overall,,,,,"(43.235541343, -108.109830353)",,56,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,
2015,2015,SC,South Carolina,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(33.998821303, -81.045371207)",,45,DIA,DIA2_1,CRDPREV,RACE,OTH,,,,
2015,2015,NC,North Carolina,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,31.4,31.4,,,22.4,42,Race/Ethnicity,"Black, non-Hispanic",,,,,"(35.466220975, -79.159250463)",,37,DIA,DIA11_3,AGEADJPREV,RACE,BLK,,,,
2015,2015,TX,Texas,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,67,67,,,62.7,71.1,Overall,Overall,,,,,"(31.827240407, -99.426770206)",,48,DIA,DIA11_2,CRDPREV,OVERALL,OVR,,,,
2015,2015,HI,Hawaii,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,61.3,61.3,,,52,69.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(21.304850435, -157.857749403)",,15,DIA,DIA11_2,AGEADJPREV,RACE,MRC,,,,
2015,2015,CO,Colorado,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,36.7,36.7,,,26.3,48.6,Gender,Female,,,,,"(38.843840757, -106.133610921)",,8,DIA,DIA11_3,AGEADJPREV,GENDER,GENF,,,,
2015,2015,OH,Ohio,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Gender,Female,,,,,"(40.060210141, -82.404260056)",,39,DIA,DIA7_0,CRDPREV,GENDER,GENF,,,,
2015,2015,UT,Utah,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,6.8,6.8,,,6.3,7.4,Race/Ethnicity,"White, non-Hispanic",,,,,"(39.360700171, -111.587130635)",,49,DIA,DIA2_1,AGEADJPREV,RACE,WHT,,,,
2015,2015,KY,Kentucky,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,61.1,61.1,,,51.5,69.9,Gender,Male,,,,,"(37.645970271, -84.774971048)",,21,DIA,DIA11_2,AGEADJPREV,GENDER,GENM,,,,
2015,2015,CO,Colorado,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,41.8,41.8,,,30.8,53.6,Gender,Male,,,,,"(38.843840757, -106.133610921)",,8,DIA,DIA12_1,AGEADJPREV,GENDER,GENM,,,,
2015,2015,ME,Maine,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,66.2,66.2,,,59.9,72.1,Overall,Overall,,,,,"(45.254228894001, -68.985031336)",,23,DIA,DIA13_1,CRDPREV,OVERALL,OVR,,,,
2015,2015,WY,Wyoming,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(43.235541343, -108.109830353)",,56,DIA,DIA11_2,CRDPREV,RACE,BLK,,,,
2015,2015,MT,Montana,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Crude Prevalence,68.7,68.7,,,61.2,75.3,Overall,Overall,,,,,"(47.066528972, -109.424420645)",,30,DIA,DIA12_2,CRDPREV,OVERALL,OVR,,,,
2015,2015,KY,Kentucky,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,72.4,72.4,,,68,76.3,Overall,Overall,,,,,"(37.645970271, -84.774971048)",,21,DIA,DIA5_0,CRDPREV,OVERALL,OVR,,,,
2015,2015,MS,Mississippi,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Age-adjusted Prevalence,,,-,No data available,,,Gender,Female,,,,,"(32.745510099, -89.538030825)",,28,DIA,DIA10_0,AGEADJPREV,GENDER,GENF,,,,
2015,2015,DE,Delaware,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Age-adjusted Prevalence,49.2,49.2,,,38.7,59.7,Overall,Overall,,,,,"(39.008830667, -75.577741168)",,10,DIA,DIA10_0,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,IN,Indiana,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,13.1,13.1,,,8.5,19.7,Race/Ethnicity,Hispanic,,,,,"(39.766910452, -86.149960194)",,18,DIA,DIA2_1,AGEADJPREV,RACE,HIS,,,,
2015,2015,GU,Guam,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(13.444304, 144.793731)",,66,DIA,DIA13_1,AGEADJPREV,RACE,MRC,,,,
2015,2015,CA,California,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,6.7,6.7,,,5,9,Race/Ethnicity,"White, non-Hispanic",,,,,"(37.638640123, -120.999999538)",,6,DIA,DIA2_2,CRDPREV,RACE,WHT,,,,
2015,2015,OH,Ohio,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,-,No data available,,,Gender,Female,,,,,"(40.060210141, -82.404260056)",,39,DIA,DIA5_0,AGEADJPREV,GENDER,GENF,,,,
2015,2015,OR,Oregon,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,"(44.567449424, -120.155031326)",,41,DIA,DIA11_2,CRDPREV,RACE,HIS,,,,
2015,2015,UT,Utah,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,56.5,56.5,,,48.2,64.4,Gender,Female,,,,,"(39.360700171, -111.587130635)",,49,DIA,DIA12_1,CRDPREV,GENDER,GENF,,,,
2015,2015,NC,North Carolina,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.4,8.4,,,7.6,9.2,Race/Ethnicity,"White, non-Hispanic",,,,,"(35.466220975, -79.159250463)",,37,DIA,DIA2_1,AGEADJPREV,RACE,WHT,,,,
2015,2015,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.7,10.7,,,9.8,11.7,Overall,Overall,,,,,"(32.839681093, -83.627580346)",,13,DIA,DIA2_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AL,Alabama,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,"(32.840571122, -86.631860762)",,1,DIA,DIA7_0,CRDPREV,GENDER,GENM,,,,
2015,2015,KS,Kansas,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,47.2,47.2,,,35.4,59.3,Race/Ethnicity,Hispanic,,,,,"(38.3477403, -98.200781227)",,20,DIA,DIA12_1,CRDPREV,RACE,HIS,,,,
2015,2015,WI,Wisconsin,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Crude Prevalence,87.7,87.7,,,82.5,91.5,Race/Ethnicity,"White, non-Hispanic",,,,,"(44.393191174, -89.816370742)",,55,DIA,DIA13_2,CRDPREV,RACE,WHT,,,,
2015,2015,AZ,Arizona,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,46.8,46.8,,,39.9,54,Overall,Overall,,,,,"(34.86597028, -111.763811277)",,4,DIA,DIA13_1,CRDPREV,OVERALL,OVR,,,,
2015,2015,WI,Wisconsin,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Age-adjusted Prevalence,55.1,55.1,,,41.4,68.1,Race/Ethnicity,"White, non-Hispanic",,,,,"(44.393191174, -89.816370742)",,55,DIA,DIA10_0,AGEADJPREV,RACE,WHT,,,,
2015,2015,WY,Wyoming,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,57.6,57.6,,,46.5,67.9,Overall,Overall,,,,,"(43.235541343, -108.109830353)",,56,DIA,DIA11_2,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,NC,North Carolina,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Crude Prevalence,55.5,55.5,,,47.8,62.9,Race/Ethnicity,"Black, non-Hispanic",,,,,"(35.466220975, -79.159250463)",,37,DIA,DIA10_0,CRDPREV,RACE,BLK,,,,
2015,2015,MO,Missouri,BRFSS,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,40.8,40.8,,,30.4,52.1,Race/Ethnicity,"Black, non-Hispanic",,,,,"(38.635790776, -92.566300053)",,29,DIA,DIA11_1,AGEADJPREV,RACE,BLK,,,,
2015,2015,OH,Ohio,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,4.6,4.6,,,3.2,6.7,Overall,Overall,,,,,"(40.060210141, -82.404260056)",,39,DIA,DIA2_2,CRDPREV,OVERALL,OVR,,,,
2015,2015,WI,Wisconsin,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(44.393191174, -89.816370742)",,55,DIA,DIA11_2,AGEADJPREV,RACE,MRC,,,,
2015,2015,OR,Oregon,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,"(44.567449424, -120.155031326)",,41,DIA,DIA5_0,CRDPREV,RACE,HIS,,,,
2015,2015,IA,Iowa,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,59.8,59.8,,,45,73,Gender,Female,,,,,"(42.469400913, -93.816490556)",,19,DIA,DIA7_0,AGEADJPREV,GENDER,GENF,,,,
2015,2015,DC,District of Columbia,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,67.9,67.9,,,51,81.2,Gender,Male,,,,,"(38.907192, -77.036871)",,11,DIA,DIA7_0,CRDPREV,GENDER,GENM,,,,
2015,2015,AL,Alabama,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,30.4,30.4,,,21.7,40.7,Race/Ethnicity,"Black, non-Hispanic",,,,,"(32.840571122, -86.631860762)",,1,DIA,DIA11_3,AGEADJPREV,RACE,BLK,,,,
2015,2015,HI,Hawaii,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Age-adjusted Prevalence,65.7,65.7,,,57.8,72.8,Overall,Overall,,,,,"(21.304850435, -157.857749403)",,15,DIA,DIA12_2,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,ID,Idaho,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(43.682630005, -114.363730042)",,16,DIA,DIA6_0,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,SC,South Carolina,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Age-adjusted Prevalence,67.8,67.8,,,61.8,73.3,Gender,Male,,,,,"(33.998821303, -81.045371207)",,45,DIA,DIA12_2,AGEADJPREV,GENDER,GENM,,,,
2015,2015,AK,Alaska,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.6,7.6,,,6,9.7,Gender,Female,,,,,"(64.845079957001, -147.722059036)",,2,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
2015,2015,IA,Iowa,BRFSS,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,67.4,67.4,,,60.5,73.7,Gender,Female,,,,,"(42.469400913, -93.816490556)",,19,DIA,DIA11_2,CRDPREV,GENDER,GENF,,,,
2015,2015,NE,Nebraska,BRFSS,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,63.6,63.6,,,58.8,68,Gender,Male,,,,,"(41.641040988001, -99.365720623)",,31,DIA,DIA11_1,CRDPREV,GENDER,GENM,,,,
2015,2015,IA,Iowa,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,25.4,25.4,,,21.6,29.5,Overall,Overall,,,,,"(42.469400913, -93.816490556)",,19,DIA,DIA11_3,CRDPREV,OVERALL,OVR,,,,
2015,2015,TN,Tennessee,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(35.68094058, -85.774490914)",,47,DIA,DIA2_1,CRDPREV,RACE,OTH,,,,
2015,2015,UT,Utah,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Age-adjusted Prevalence,60.7,60.7,,,47.4,72.6,Gender,Male,,,,,"(39.360700171, -111.587130635)",,49,DIA,DIA10_0,AGEADJPREV,GENDER,GENM,,,,
2015,2015,FL,Florida,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,70.3,70.3,,,64.8,75.3,Overall,Overall,,,,,"(28.932040377, -81.928960539)",,12,DIA,DIA7_0,CRDPREV,OVERALL,OVR,,,,
2015,2015,WI,Wisconsin,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,17.7,17.7,,,10.4,28.6,Gender,Female,,,,,"(44.393191174, -89.816370742)",,55,DIA,DIA12_1,AGEADJPREV,GENDER,GENF,,,,
2015,2015,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,11.3,11.3,,,10.3,12.4,Overall,Overall,,,,,"(32.839681093, -83.627580346)",,13,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,,
2015,2015,ND,North Dakota,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,4.3,4.3,,,2.9,6.3,Overall,Overall,,,,,"(47.475319779, -100.118421049)",,38,DIA,DIA2_2,CRDPREV,OVERALL,OVR,,,,
2015,2015,WV,West Virginia,BRFSS,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(38.665510202, -80.712640135)",,54,DIA,DIA11_1,AGEADJPREV,RACE,BLK,,,,
2015,2015,DE,Delaware,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,84.1,84.1,,,77.8,88.8,Gender,Male,,,,,"(39.008830667, -75.577741168)",,10,DIA,DIA5_0,CRDPREV,GENDER,GENM,,,,
2015,2015,UT,Utah,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(39.360700171, -111.587130635)",,49,DIA,DIA6_0,CRDPREV,RACE,MRC,,,,
2015,2015,MO,Missouri,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(38.635790776, -92.566300053)",,29,DIA,DIA5_0,CRDPREV,RACE,MRC,,,,
2015,2015,TX,Texas,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,56,56,,,47,64.6,Race/Ethnicity,"White, non-Hispanic",,,,,"(31.827240407, -99.426770206)",,48,DIA,DIA13_1,CRDPREV,RACE,WHT,,,,
