Year,Cause of Death,State,State FIPS Code,HHS Region,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths,Percent Potentially Excess Deaths
2015,Cancer,Alabama,AL,4,0-59,Floating,Metropolitan,"1,559","2,922,337",944,615,39.4
2015,Cancer,Alabama,AL,4,0-59,Floating,Nonmetropolitan,576,"871,989",295,281,48.8
2015,Cancer,Alabama,AL,4,0-64,2005 Fixed,All,"3,378","4,094,817","2,391",987,29.2
2015,Cancer,Alabama,AL,4,0-64,2005 Fixed,Metropolitan,"2,472","3,147,807","1,811",661,26.7
2015,Cancer,Alabama,AL,4,0-64,2005 Fixed,Nonmetropolitan,906,"947,010",580,328,36.2
2015,Cancer,Alabama,AL,4,0-64,2010 Fixed,All,"3,378","4,094,817","2,226","1,152",34.1
2015,Cancer,Alabama,AL,4,0-64,2010 Fixed,Metropolitan,"2,472","3,147,807","1,686",786,31.8
2015,Cancer,Alabama,AL,4,0-64,2010 Fixed,Nonmetropolitan,906,"947,010",540,367,40.5
2015,Cancer,Alabama,AL,4,0-64,Floating,All,"3,378","4,094,817","2,068","1,310",38.8
2015,Cancer,Alabama,AL,4,0-64,Floating,Metropolitan,"2,472","3,147,807","1,566",906,36.7
2015,Cancer,Alabama,AL,4,0-64,Floating,Nonmetropolitan,906,"947,010",502,405,44.7
2015,Cancer,Alabama,AL,4,0-69,2005 Fixed,All,"4,859","4,355,777","3,710","1,149",23.6
2015,Cancer,Alabama,AL,4,0-69,2005 Fixed,Metropolitan,"3,543","3,339,823","2,785",759,21.4
2015,Cancer,Alabama,AL,4,0-69,2005 Fixed,Nonmetropolitan,"1,316","1,015,954",925,391,29.7
2015,Cancer,Alabama,AL,4,0-69,2010 Fixed,All,"4,859","4,355,777","3,327","1,532",31.5
2015,Cancer,Alabama,AL,4,0-69,2010 Fixed,Metropolitan,"3,543","3,339,823","2,499","1,044",29.5
2015,Cancer,Alabama,AL,4,0-69,2010 Fixed,Nonmetropolitan,"1,316","1,015,954",828,488,37.1
2015,Cancer,Alabama,AL,4,0-69,Floating,All,"4,859","4,355,777","3,240","1,619",33.3
2015,Cancer,Alabama,AL,4,0-69,Floating,Metropolitan,"3,543","3,339,823","2,432","1,111",31.4
2015,Cancer,Alabama,AL,4,0-69,Floating,Nonmetropolitan,"1,316","1,015,954",808,508,38.6
2015,Cancer,Alabama,AL,4,0-74,2005 Fixed,All,"6,403","4,545,090","5,055","1,348",21.1
2015,Cancer,Alabama,AL,4,0-74,2005 Fixed,Metropolitan,"4,654","3,477,004","3,759",895,19.2
2015,Cancer,Alabama,AL,4,0-74,2005 Fixed,Nonmetropolitan,"1,749","1,068,086","1,296",454,26
2015,Cancer,Alabama,AL,4,0-74,2010 Fixed,All,"6,403","4,545,090","4,606","1,797",28.1
2015,Cancer,Alabama,AL,4,0-74,2010 Fixed,Metropolitan,"4,654","3,477,004","3,426","1,228",26.4
2015,Cancer,Alabama,AL,4,0-74,2010 Fixed,Nonmetropolitan,"1,749","1,068,086","1,179",570,32.6
2015,Cancer,Alabama,AL,4,0-74,Floating,All,"6,403","4,545,090","4,233","2,170",33.9
2015,Cancer,Alabama,AL,4,0-74,Floating,Metropolitan,"4,654","3,477,004","3,149","1,505",32.3
2015,Cancer,Alabama,AL,4,0-74,Floating,Nonmetropolitan,"1,749","1,068,086","1,084",666,38.1
2015,Cancer,Alabama,AL,4,0-79,2005 Fixed,All,"7,757","4,681,102","6,451","1,306",16.8
2015,Cancer,Alabama,AL,4,0-79,2005 Fixed,Metropolitan,"5,643","3,575,158","4,768",876,15.5
2015,Cancer,Alabama,AL,4,0-79,2005 Fixed,Nonmetropolitan,"2,114","1,105,944","1,683",431,20.4
2015,Cancer,Alabama,AL,4,0-79,2010 Fixed,Metropolitan,"5,643","3,575,158","4,302","1,341",23.8
2015,Cancer,Alabama,AL,4,0-79,2010 Fixed,Nonmetropolitan,"2,114","1,105,944","1,517",597,28.2
2015,Cancer,Alabama,AL,4,0-79,Floating,All,"7,757","4,681,102","5,502","2,255",29.1
2015,Cancer,Alabama,AL,4,0-79,Floating,Metropolitan,"5,643","3,575,158","4,069","1,574",27.9
2015,Cancer,Alabama,AL,4,0-79,Floating,Nonmetropolitan,"2,114","1,105,944","1,434",680,32.2
2015,Cancer,Alabama,AL,4,0-84,2005 Fixed,All,"9,023","4,773,540","7,463","1,560",17.3
2015,Cancer,Alabama,AL,4,0-84,2005 Fixed,Metropolitan,"6,579","3,642,660","5,505","1,074",16.3
2015,Cancer,Alabama,AL,4,0-84,2005 Fixed,Nonmetropolitan,"2,444","1,130,880","1,958",487,19.9
2015,Cancer,Alabama,AL,4,0-84,2010 Fixed,All,"9,023","4,773,540","6,949","2,074",23
2015,Cancer,Alabama,AL,4,0-84,2010 Fixed,Metropolitan,"6,579","3,642,660","5,125","1,454",22.1
2015,Cancer,Alabama,AL,4,0-84,2010 Fixed,Nonmetropolitan,"2,444","1,130,880","1,823",621,25.4
2015,Cancer,Alabama,AL,4,0-84,Floating,All,"9,023","4,773,540","6,476","2,547",28.2
2015,Cancer,Alabama,AL,4,0-84,Floating,Metropolitan,"6,579","3,642,660","4,776","1,803",27.4
2015,Cancer,Alabama,AL,4,0-84,Floating,Nonmetropolitan,"2,444","1,130,880","1,700",744,30.4
2015,Cancer,Alaska,AK,10,0-49,2005 Fixed,All,56,"521,853",64,1,1.8
2015,Cancer,Alaska,AK,10,0-49,2005 Fixed,Metropolitan,36,"361,103",44,1,2.8
2015,Cancer,Alaska,AK,10,0-49,2005 Fixed,Nonmetropolitan,20,"154,127",20,5,25
2015,Cancer,Alaska,AK,10,0-49,2010 Fixed,All,56,"521,853",60,1,1.8
2015,Cancer,Alaska,AK,10,0-49,2010 Fixed,Metropolitan,36,"361,103",41,1,2.8
2015,Cancer,Alaska,AK,10,0-49,2010 Fixed,Nonmetropolitan,20,"154,127",18,5,25
2015,Cancer,Alaska,AK,10,0-49,Floating,All,56,"521,853",52,4,7.1
2015,Cancer,Alaska,AK,10,0-49,Floating,Metropolitan,36,"361,103",35,6,16.7
2015,Cancer,Alaska,AK,10,0-49,Floating,Nonmetropolitan,20,"154,127",16,6,30
2015,Cancer,Alaska,AK,10,0-54,2005 Fixed,All,128,"571,971",115,19,14.8
2015,Cancer,Alaska,AK,10,0-54,2005 Fixed,Metropolitan,83,"393,542",77,12,14.5
2015,Cancer,Alaska,AK,10,0-54,2005 Fixed,Nonmetropolitan,45,"171,390",37,9,20
2015,Cancer,Alaska,AK,10,0-54,2010 Fixed,All,128,"571,971",112,18,14.1
2015,Cancer,Alaska,AK,10,0-54,2010 Fixed,Metropolitan,83,"393,542",75,11,13.3
2015,Cancer,Alaska,AK,10,0-54,2010 Fixed,Nonmetropolitan,45,"171,390",37,9,20
2015,Cancer,Alaska,AK,10,0-54,Floating,All,128,"571,971",100,28,21.9
2015,Cancer,Alaska,AK,10,0-54,Floating,Metropolitan,83,"393,542",67,18,21.7
2015,Cancer,Alaska,AK,10,0-54,Floating,Nonmetropolitan,45,"171,390",33,13,28.9
2015,Cancer,Alaska,AK,10,0-59,2005 Fixed,All,255,"622,501",212,52,20.4
2015,Cancer,Alaska,AK,10,0-59,2005 Fixed,Metropolitan,167,"425,814",139,37,22.2
2015,Cancer,Alaska,AK,10,0-59,2005 Fixed,Nonmetropolitan,88,"189,260",71,21,23.9
2015,Cancer,Alaska,AK,10,0-59,2010 Fixed,All,255,"622,501",201,59,23.1
2015,Cancer,Alaska,AK,10,0-59,2010 Fixed,Metropolitan,167,"425,814",132,41,24.6
2015,Cancer,Alaska,AK,10,0-59,2010 Fixed,Nonmetropolitan,88,"189,260",68,24,27.3
2015,Cancer,Alaska,AK,10,0-59,Floating,All,255,"622,501",185,70,27.5
2015,Cancer,Alaska,AK,10,0-59,Floating,Metropolitan,167,"425,814",121,51,30.5
2015,Cancer,Alaska,AK,10,0-59,Floating,Nonmetropolitan,88,"189,260",63,27,30.7
2015,Cancer,Alaska,AK,10,0-64,2005 Fixed,All,390,"665,595",353,43,11
2015,Cancer,Alaska,AK,10,0-64,2005 Fixed,Metropolitan,251,"453,063",228,29,11.6
2015,Cancer,Alaska,AK,10,0-64,2005 Fixed,Nonmetropolitan,139,"204,851",123,18,12.9
2015,Cancer,Alaska,AK,10,0-64,2010 Fixed,All,390,"665,595",329,63,16.2
2015,Cancer,Alaska,AK,10,0-64,2010 Fixed,Metropolitan,251,"453,063",212,42,16.7
2015,Cancer,Alaska,AK,10,0-64,2010 Fixed,Nonmetropolitan,139,"204,851",114,26,18.7
2015,Cancer,Alaska,AK,10,0-64,Floating,All,390,"665,595",306,85,21.8
2015,Cancer,Alaska,AK,10,0-64,Floating,Metropolitan,251,"453,063",197,55,21.9
2015,Cancer,Alaska,AK,10,0-64,Floating,Nonmetropolitan,139,"204,851",106,33,23.7
2015,Cancer,Alaska,AK,10,0-69,2005 Fixed,All,521,"696,131",513,52,10
2015,Cancer,Alaska,AK,10,0-69,2005 Fixed,Metropolitan,338,"472,526",330,37,10.9
2015,Cancer,Alaska,AK,10,0-69,2005 Fixed,Nonmetropolitan,183,"215,744",180,21,11.5
2015,Cancer,Alaska,AK,10,0-69,2010 Fixed,All,521,"696,131",461,65,12.5
2015,Cancer,Alaska,AK,10,0-69,2010 Fixed,Metropolitan,338,"472,526",297,48,14.2
2015,Cancer,Alaska,AK,10,0-69,2010 Fixed,Nonmetropolitan,183,"215,744",161,25,13.7
2015,Cancer,Alaska,AK,10,0-69,Floating,All,521,"696,131",448,73,14
2015,Cancer,Alaska,AK,10,0-69,Floating,Metropolitan,338,"472,526",288,55,16.3
2015,Cancer,Alaska,AK,10,0-69,Floating,Nonmetropolitan,183,"215,744",157,28,15.3
2015,Cancer,Alaska,AK,10,0-74,2005 Fixed,All,664,"714,750",644,43,6.5
2015,Cancer,Alaska,AK,10,0-74,2005 Fixed,Metropolitan,428,"484,290",413,29,6.8
2015,Cancer,Alaska,AK,10,0-74,2005 Fixed,Nonmetropolitan,236,"222,487",227,18,7.6
2015,Cancer,Alaska,AK,10,0-74,2010 Fixed,All,664,"714,750",589,77,11.6
2015,Cancer,Alaska,AK,10,0-74,2010 Fixed,Metropolitan,428,"484,290",377,54,12.6
2015,Cancer,Alaska,AK,10,0-74,2010 Fixed,Nonmetropolitan,236,"222,487",207,29,12.3
2015,Cancer,Alaska,AK,10,0-74,Floating,All,664,"714,750",542,122,18.4
2015,Cancer,Alaska,AK,10,0-74,Floating,Metropolitan,428,"484,290",347,82,19.2
2015,Cancer,Alaska,AK,10,0-74,Floating,Nonmetropolitan,236,"222,487",191,46,19.5
2015,Cancer,Alaska,AK,10,0-79,2005 Fixed,All,783,"725,579",761,66,8.4
2015,Cancer,Alaska,AK,10,0-79,2005 Fixed,Metropolitan,499,"491,146",486,41,8.2
2015,Cancer,Alaska,AK,10,0-79,2005 Fixed,Nonmetropolitan,284,"226,394",269,33,11.6
2015,Cancer,Alaska,AK,10,0-79,2010 Fixed,All,783,"725,579",687,101,12.9
2015,Cancer,Alaska,AK,10,0-79,2010 Fixed,Metropolitan,499,"491,146",439,66,13.2
2015,Cancer,Alaska,AK,10,0-79,2010 Fixed,Nonmetropolitan,284,"226,394",243,45,15.8
2015,Cancer,Alaska,AK,10,0-79,Floating,All,783,"725,579",653,130,16.6
2015,Cancer,Alaska,AK,10,0-79,Floating,Metropolitan,499,"491,146",417,87,17.4
2015,Cancer,Alaska,AK,10,0-79,Floating,Nonmetropolitan,284,"226,394",231,55,19.4
2015,Cancer,Alaska,AK,10,0-84,2005 Fixed,All,884,"732,295",829,78,8.8
2015,Cancer,Alaska,AK,10,0-84,2005 Fixed,Metropolitan,557,"495,386",530,41,7.4
2015,Cancer,Alaska,AK,10,0-84,2005 Fixed,Nonmetropolitan,327,"228,817",294,43,13.1
2015,Cancer,Alaska,AK,10,0-84,2010 Fixed,Metropolitan,557,"495,386",491,69,12.4
2015,Cancer,Alaska,AK,10,0-84,2010 Fixed,Nonmetropolitan,327,"228,817",272,56,17.1
2015,Cancer,Alaska,AK,10,0-84,Floating,All,884,"732,295",714,170,19.2
2015,Cancer,Alaska,AK,10,0-84,Floating,Metropolitan,557,"495,386",456,102,18.3
2015,Cancer,Alaska,AK,10,0-84,Floating,Nonmetropolitan,327,"228,817",253,75,22.9
2015,Cancer,Arizona,AZ,9,0-49,2005 Fixed,All,607,"4,463,051",581,33,5.4
2015,Cancer,Arizona,AZ,9,0-49,2005 Fixed,Metropolitan,574,"4,246,021",555,25,4.4
2015,Cancer,Arizona,AZ,9,0-49,2005 Fixed,Nonmetropolitan,33,"217,030",26,9,27.3
2015,Cancer,Arizona,AZ,9,0-49,2010 Fixed,All,607,"4,463,051",542,68,11.2
2015,Cancer,Arizona,AZ,9,0-49,2010 Fixed,Metropolitan,574,"4,246,021",517,60,10.5
2015,Cancer,Arizona,AZ,9,0-49,2010 Fixed,Nonmetropolitan,33,"217,030",24,11,33.3
2015,Cancer,Arizona,AZ,9,0-49,Floating,All,607,"4,463,051",470,137,22.6
2015,Cancer,Arizona,AZ,9,0-49,Floating,Metropolitan,574,"4,246,021",449,126,22
2015,Cancer,Arizona,AZ,9,0-49,Floating,Nonmetropolitan,33,"217,030",21,13,39.4
2015,Cancer,Arizona,AZ,9,0-54,2005 Fixed,All,"1,078","4,894,310","1,026",59,5.5
2015,Cancer,Arizona,AZ,9,0-54,2005 Fixed,Metropolitan,"1,016","4,655,604",978,48,4.7
2015,Cancer,Arizona,AZ,9,0-54,2005 Fixed,Nonmetropolitan,62,"238,706",48,14,22.6
2015,Cancer,Arizona,AZ,9,0-54,2010 Fixed,All,"1,078","4,894,310",998,80,7.4
2015,Cancer,Arizona,AZ,9,0-54,2010 Fixed,Metropolitan,"1,016","4,655,604",951,66,6.5
2015,Cancer,Arizona,AZ,9,0-54,2010 Fixed,Nonmetropolitan,62,"238,706",47,15,24.2
2015,Cancer,Arizona,AZ,9,0-54,Floating,All,"1,078","4,894,310",890,188,17.4
2015,Cancer,Arizona,AZ,9,0-54,Floating,Metropolitan,"1,016","4,655,604",848,168,16.5
2015,Cancer,Arizona,AZ,9,0-54,Floating,Nonmetropolitan,62,"238,706",42,20,32.3
2015,Cancer,Arizona,AZ,9,0-59,2005 Fixed,All,"1,926","5,318,846","1,836",97,5
2015,Cancer,Arizona,AZ,9,0-59,2005 Fixed,Metropolitan,"1,815","5,057,113","1,745",77,4.2
2015,Cancer,Arizona,AZ,9,0-59,2005 Fixed,Nonmetropolitan,111,"261,733",92,21,18.9
2015,Cancer,Arizona,AZ,9,0-59,2010 Fixed,All,"1,926","5,318,846","1,746",182,9.4
2015,Cancer,Arizona,AZ,9,0-59,2010 Fixed,Metropolitan,"1,815","5,057,113","1,659",159,8.8
2015,Cancer,Arizona,AZ,9,0-59,2010 Fixed,Nonmetropolitan,111,"261,733",87,26,23.4
2015,Cancer,Arizona,AZ,9,0-59,Floating,All,"1,926","5,318,846","1,604",322,16.7
2015,Cancer,Arizona,AZ,9,0-59,Floating,Metropolitan,"1,815","5,057,113","1,524",292,16.1
2015,Cancer,Arizona,AZ,9,0-59,Floating,Nonmetropolitan,111,"261,733",80,32,28.8
2015,Cancer,Arizona,AZ,9,0-64,2005 Fixed,All,"3,167","5,708,011","3,095",78,2.5
2015,Cancer,Arizona,AZ,9,0-64,2005 Fixed,Metropolitan,"3,001","5,424,776","2,934",77,2.6
2015,Cancer,Arizona,AZ,9,0-64,2005 Fixed,Nonmetropolitan,166,"283,235",162,14,8.4
2015,Cancer,Arizona,AZ,9,0-64,2010 Fixed,All,"3,167","5,708,011","2,881",287,9.1
2015,Cancer,Arizona,AZ,9,0-64,2010 Fixed,Metropolitan,"3,001","5,424,776","2,731",271,9
2015,Cancer,Arizona,AZ,9,0-64,2010 Fixed,Nonmetropolitan,166,"283,235",150,16,9.6
2015,Cancer,Arizona,AZ,9,0-64,Floating,All,"3,167","5,708,011","2,675",492,15.5
2015,Cancer,Arizona,AZ,9,0-64,Floating,Metropolitan,"3,001","5,424,776","2,535",466,15.5
2015,Cancer,Arizona,AZ,9,0-64,Floating,Nonmetropolitan,166,"283,235",140,26,15.7
2015,Cancer,Arizona,AZ,9,0-69,2005 Fixed,All,"4,854","6,076,764","4,934",97,2
2015,Cancer,Arizona,AZ,9,0-69,2005 Fixed,Metropolitan,"4,589","5,772,789","4,670",77,1.7
2015,Cancer,Arizona,AZ,9,0-69,2005 Fixed,Nonmetropolitan,265,"303,975",264,21,7.9
2015,Cancer,Arizona,AZ,9,0-69,2010 Fixed,All,"4,854","6,076,764","4,420",437,9
2015,Cancer,Arizona,AZ,9,0-69,2010 Fixed,Metropolitan,"4,589","5,772,789","4,183",409,8.9
2015,Cancer,Arizona,AZ,9,0-69,2010 Fixed,Nonmetropolitan,265,"303,975",236,31,11.7
2015,Cancer,Arizona,AZ,9,0-69,Floating,All,"4,854","6,076,764","4,305",549,11.3
2015,Cancer,Arizona,AZ,9,0-69,Floating,Metropolitan,"4,589","5,772,789","4,075",515,11.2
2015,Cancer,Arizona,AZ,9,0-69,Floating,Nonmetropolitan,265,"303,975",231,36,13.6
2015,Cancer,Arizona,AZ,9,0-74,2005 Fixed,All,"6,559","6,361,025","6,958",78,1.2
2015,Cancer,Arizona,AZ,9,0-74,2005 Fixed,Metropolitan,"6,214","6,040,348","6,575",77,1.2
2015,Cancer,Arizona,AZ,9,0-74,2005 Fixed,Nonmetropolitan,345,"320,677",383,14,4.1
2015,Cancer,Arizona,AZ,9,0-74,2010 Fixed,All,"6,559","6,361,025","6,332",287,4.4
2015,Cancer,Arizona,AZ,9,0-74,2010 Fixed,Metropolitan,"6,214","6,040,348","5,984",271,4.4
2015,Cancer,Arizona,AZ,9,0-74,2010 Fixed,Nonmetropolitan,345,"320,677",348,16,4.6
2015,Cancer,Arizona,AZ,9,0-74,Floating,All,"6,559","6,361,025","5,815",744,11.3
2015,Cancer,Arizona,AZ,9,0-74,Floating,Metropolitan,"6,214","6,040,348","5,495",719,11.6
2015,Cancer,Arizona,AZ,9,0-74,Floating,Nonmetropolitan,345,"320,677",320,26,7.5
2015,Cancer,Arizona,AZ,9,0-79,2005 Fixed,All,"8,298","6,562,445","9,025",97,1.2
2015,Cancer,Arizona,AZ,9,0-79,2005 Fixed,Metropolitan,"7,860","6,229,591","8,518",77,1
2015,Cancer,Arizona,AZ,9,0-79,2005 Fixed,Nonmetropolitan,438,"332,854",508,21,4.8
2015,Cancer,Arizona,AZ,9,0-79,2010 Fixed,All,"8,298","6,562,445","8,140",437,5.3
2015,Cancer,Arizona,AZ,9,0-79,2010 Fixed,Metropolitan,"7,860","6,229,591","7,682",409,5.2
2015,Cancer,Arizona,AZ,9,0-79,2010 Fixed,Nonmetropolitan,438,"332,854",457,31,7.1
2015,Cancer,Arizona,AZ,9,0-79,Floating,All,"8,298","6,562,445","7,684",614,7.4
2015,Cancer,Arizona,AZ,9,0-79,Floating,Metropolitan,"7,860","6,229,591","7,252",609,7.7
2015,Cancer,Arizona,AZ,9,0-79,Floating,Nonmetropolitan,438,"332,854",432,36,8.2
2015,Cancer,Arizona,AZ,9,0-84,2005 Fixed,All,"9,873","6,697,276","10,503",78,0.8
2015,Cancer,Arizona,AZ,9,0-84,2005 Fixed,Metropolitan,"9,339","6,356,788","9,911",77,0.8
2015,Cancer,Arizona,AZ,9,0-84,2005 Fixed,Nonmetropolitan,534,"340,488",592,14,2.6
2015,Cancer,Arizona,AZ,9,0-84,2010 Fixed,All,"9,873","6,697,276","9,780",287,2.9
2015,Cancer,Arizona,AZ,9,0-84,2010 Fixed,Metropolitan,"9,339","6,356,788","9,229",271,2.9
2015,Cancer,Arizona,AZ,9,0-84,2010 Fixed,Nonmetropolitan,534,"340,488",551,16,3
2015,Cancer,Arizona,AZ,9,0-84,Floating,All,"9,873","6,697,276","9,116",757,7.7
2015,Cancer,Arizona,AZ,9,0-84,Floating,Metropolitan,"9,339","6,356,788","8,602",737,7.9
2015,Cancer,Arizona,AZ,9,0-84,Floating,Nonmetropolitan,534,"340,488",514,26,4.9
2015,Cancer,Arkansas,AR,6,0-49,2005 Fixed,All,363,"1,925,281",253,113,31.1
2015,Cancer,Arkansas,AR,6,0-49,2005 Fixed,Metropolitan,221,"1,234,305",161,60,27.1
2015,Cancer,Arkansas,AR,6,0-49,2005 Fixed,Nonmetropolitan,142,"690,976",92,55,38.7
2015,Cancer,Arkansas,AR,6,0-49,2010 Fixed,Metropolitan,221,"1,234,305",150,71,32.1
2015,Cancer,Arkansas,AR,6,0-49,2010 Fixed,Nonmetropolitan,142,"690,976",86,60,42.3
2015,Cancer,Arkansas,AR,6,0-49,Floating,All,363,"1,925,281",205,158,43.5
2015,Cancer,Arkansas,AR,6,0-49,Floating,Metropolitan,221,"1,234,305",130,91,41.2
2015,Cancer,Arkansas,AR,6,0-49,Floating,Nonmetropolitan,142,"690,976",74,71,50
2015,Cancer,Arkansas,AR,6,0-54,2005 Fixed,All,714,"2,126,535",458,256,35.9
2015,Cancer,Arkansas,AR,6,0-54,2005 Fixed,Metropolitan,440,"1,355,097",285,155,35.2
2015,Cancer,Arkansas,AR,6,0-54,2005 Fixed,Nonmetropolitan,274,"771,438",173,104,38
2015,Cancer,Arkansas,AR,6,0-54,2010 Fixed,All,714,"2,126,535",446,268,37.5
2015,Cancer,Arkansas,AR,6,0-54,2010 Fixed,Metropolitan,440,"1,355,097",277,163,37
2015,Cancer,Arkansas,AR,6,0-54,2010 Fixed,Nonmetropolitan,274,"771,438",169,107,39.1
2015,Cancer,Arkansas,AR,6,0-54,Floating,All,714,"2,126,535",398,316,44.3
2015,Cancer,Arkansas,AR,6,0-54,Floating,Metropolitan,440,"1,355,097",247,193,43.9
2015,Cancer,Arkansas,AR,6,0-54,Floating,Nonmetropolitan,274,"771,438",151,125,45.6
2015,Cancer,Arkansas,AR,6,0-59,2005 Fixed,All,"1,318","2,322,924",836,485,36.8
2015,Cancer,Arkansas,AR,6,0-59,2005 Fixed,Metropolitan,769,"1,471,128",508,261,33.9
2015,Cancer,Arkansas,AR,6,0-59,2005 Fixed,Nonmetropolitan,549,"851,796",328,226,41.2
2015,Cancer,Arkansas,AR,6,0-59,2010 Fixed,All,"1,318","2,322,924",795,525,39.8
2015,Cancer,Arkansas,AR,6,0-59,2010 Fixed,Metropolitan,769,"1,471,128",483,286,37.2
2015,Cancer,Arkansas,AR,6,0-59,2010 Fixed,Nonmetropolitan,549,"851,796",312,241,43.9
2015,Cancer,Arkansas,AR,6,0-59,Floating,All,"1,318","2,322,924",731,587,44.5
2015,Cancer,Arkansas,AR,6,0-59,Floating,Metropolitan,769,"1,471,128",444,325,42.3
2015,Cancer,Arkansas,AR,6,0-59,Floating,Nonmetropolitan,549,"851,796",288,264,48.1
2015,Cancer,Arkansas,AR,6,0-64,2005 Fixed,All,"2,037","2,501,055","1,411",626,30.7
2015,Cancer,Arkansas,AR,6,0-64,2005 Fixed,Metropolitan,"1,174","1,574,788",843,331,28.2
2015,Cancer,Arkansas,AR,6,0-64,2005 Fixed,Nonmetropolitan,863,"926,267",567,299,34.6
2015,Cancer,Arkansas,AR,6,0-64,2010 Fixed,All,"2,037","2,501,055","1,313",724,35.5
2015,Cancer,Arkansas,AR,6,0-64,2010 Fixed,Metropolitan,"1,174","1,574,788",785,389,33.1
2015,Cancer,Arkansas,AR,6,0-64,2010 Fixed,Nonmetropolitan,863,"926,267",528,338,39.2
2015,Cancer,Arkansas,AR,6,0-64,Floating,All,"2,037","2,501,055","1,219",818,40.2
2015,Cancer,Arkansas,AR,6,0-64,Floating,Metropolitan,"1,174","1,574,788",729,445,37.9
